INFO  - 2013-08-20 14:09:16.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-08-20 14:09:16.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-08-20 14:09:16.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/dist/solr-langid-4.3.0.jar' to classloader
INFO  - 2013-08-20 14:09:16.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2013-08-20 14:09:16.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2013-08-20 14:09:16.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2013-08-20 14:09:16.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-08-20 14:09:16.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mynocturne/coursePortal/solr-4.3.0/dist/solr-velocity-4.3.0.jar' to classloader
WARN  - 2013-08-20 14:09:16.562; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: /non/existent/dir/yields/warning (resolved as: /non/existent/dir/yields/warning).
INFO  - 2013-08-20 14:09:17.174; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_43
INFO  - 2013-08-20 14:09:17.264; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2013-08-20 14:09:17.271; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-08-20 14:09:17.286; org.apache.solr.schema.IndexSchema; Schema name=default
INFO  - 2013-08-20 14:09:17.415; org.apache.solr.schema.IndexSchema; default search field in schema is text
INFO  - 2013-08-20 14:09:17.416; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2013-08-20 14:09:17.416; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-08-20 14:09:17.785; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-08-20 14:09:17.791; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at solr/collection1/, dataDir=/Users/mynocturne/coursePortal/solr-4.3.0/example/solr/collection1/data/
INFO  - 2013-08-20 14:09:17.792; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@2eb80f1c
INFO  - 2013-08-20 14:09:17.811; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-08-20 14:09:17.811; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-08-20 14:09:17.813; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-08-20 14:09:17.822; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mynocturne/coursePortal/solr-4.3.0/example/solr/collection1/data
INFO  - 2013-08-20 14:09:17.822; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/mynocturne/coursePortal/solr-4.3.0/example/solr/collection1/data/index/
INFO  - 2013-08-20 14:09:17.822; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/mynocturne/coursePortal/solr-4.3.0/example/solr/collection1/data/index
INFO  - 2013-08-20 14:09:17.829; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
